Month,Coal Transportation Sector CO2 Emissions,Natural Gas Transportation Sector CO2 Emissions,Aviation Gasoline Transportation Sector CO2 Emissions,"Distillate Fuel Oil, Excluding Biodiesel, Transportation Sector CO2 Emissions",HGL Transportation Sector CO2 Emissions,Jet Fuel Transportation Sector CO2 Emissions,Lubricants Transportation Sector CO2 Emissions,"Motor Gasoline, Excluding Ethanol, Transportation Sector CO2 Emissions",Residual Fuel Oil Transportation Sector CO2 Emissions,"Petroleum, Excluding Biofuels, Transportation Sector CO2 Emissions",Transportation Share of Electric Power Sector CO2 Emissions,Total Energy Transportation Sector CO2 Emissions,Biomass Transportation Sector CO2 Emissions
1973 January,0,4.192,0.428,13.305,0.264,13.472,0.472,69.051,4.783,101.775,0.209,106.176,0
1973 February,0,3.796,0.431,13.857,0.239,11.873,0.467,65.62,5.134,97.62,0.181,101.597,0
1973 March,0.004,3.598,0.459,13.877,0.264,12.083,0.503,73.513,5.949,106.647,0.181,110.43,0
1973 April,0.028,3.276,0.446,12.244,0.256,11.954,0.446,71.453,4.417,101.215,0.169,104.688,0
1973 May,0.036,3.087,0.549,13.914,0.264,13.573,0.526,77.963,4.765,111.555,0.18,114.858,0
1973 June,0.032,2.739,0.471,13.102,0.256,11.795,0.458,76.065,4.136,106.282,0.194,109.247,0
1973 July,0.028,2.782,0.419,12.915,0.264,12.64,0.555,79.271,3.117,109.183,0.212,112.204,0
1973 August,0.03,2.825,0.668,13.568,0.264,12.589,0.54,81.907,4.078,113.614,0.209,116.678,0
1973 September,0.026,2.726,0.462,13.873,0.256,12.689,0.473,71.88,3.974,103.607,0.192,106.551,0
1973 October,0.026,3.049,0.55,14.427,0.264,13.489,0.583,75.364,3.686,108.362,0.196,111.633,0
1973 November,0.024,3.401,0.475,14.866,0.256,12.118,0.517,74.528,5.585,108.344,0.198,111.967,0
1973 December,0.015,3.896,0.413,14.386,0.264,13.325,0.511,70.396,4.993,104.288,0.195,108.394,0
1974 January,0,3.814,0.441,14.595,0.244,10.852,0.535,65.606,5.28,97.553,0.18,101.547,0
1974 February,0,3.513,0.304,13.464,0.22,9.347,0.446,62.274,4.868,90.922,0.155,94.59,0
1974 March,0.006,3.426,0.578,13.772,0.244,11.637,0.503,69.648,4.675,101.056,0.166,104.654,0
1974 April,0.021,2.892,0.445,13.374,0.236,11.105,0.48,70.628,4.575,100.844,0.157,103.914,0
1974 May,0.017,2.75,0.462,13.162,0.244,12.83,0.533,76.242,3.855,107.329,0.175,110.271,0
1974 June,0.013,2.461,0.527,13.464,0.236,11.154,0.419,75.685,4.135,105.619,0.167,108.26,0
1974 July,0.015,2.589,0.479,12.94,0.244,12.461,0.511,78.658,3.815,109.108,0.194,111.906,0
1974 August,0.019,2.583,0.64,13.163,0.244,12.426,0.462,79.815,4.049,110.799,0.185,113.585,0
1974 September,0.019,2.629,0.468,12.313,0.236,13.15,0.498,69.869,3.777,100.31,0.162,103.121,0
1974 October,0.017,2.918,0.557,14.181,0.244,12.368,0.513,75.867,4.342,108.071,0.173,111.18,0
1974 November,0.032,3.125,0.409,13.696,0.236,12.2,0.445,71.608,4.809,103.404,0.184,106.744,0
1974 December,0.011,3.599,0.348,14.754,0.244,12.812,0.451,74.123,4.138,106.871,0.192,110.672,0
1975 January,0.002,3.626,0.341,14.885,0.231,12.764,0.518,70.215,6.301,105.255,0.192,109.075,0
1975 February,0.002,3.128,0.365,13.216,0.208,11.846,0.364,62.298,4.617,92.913,0.164,96.207,0
1975 March,0,3.07,0.362,14.096,0.231,12.031,0.371,71.571,5.643,104.305,0.171,107.546,0
1975 April,0.006,2.541,0.41,13.715,0.223,11.965,0.492,73.558,3.845,104.209,0.156,106.912,0
1975 May,0.008,2.147,0.389,12.397,0.231,11.98,0.481,77.743,3.961,107.183,0.168,109.506,0
1975 June,0.006,2.028,0.423,12.136,0.223,11.719,0.511,77.479,3.693,106.184,0.172,108.39,0
1975 July,0.004,2.118,0.504,11.964,0.231,11.642,0.485,79.659,3.729,108.213,0.185,110.52,0
1975 August,0.004,2.208,0.471,11.976,0.231,12.753,0.527,79.294,2.764,108.015,0.187,110.415,0
1975 September,0.004,2.21,0.476,11.592,0.223,12.364,0.508,73.674,4.516,103.353,0.168,105.736,0
1975 October,0.006,2.491,0.471,13.989,0.231,12.238,0.555,76.684,4.33,108.497,0.178,111.172,0
1975 November,0.004,2.645,0.374,11.978,0.223,11.854,0.423,69.962,4.563,99.377,0.185,102.211,0
1975 December,0.002,3.305,0.322,14.919,0.231,11.178,0.497,77.028,5.436,109.611,0.193,113.111,0
1976 January,0,3.402,0.301,14.947,0.251,11.573,0.434,72.499,4.801,104.806,0.201,108.409,0
1976 February,0,2.877,0.292,13.408,0.235,11.04,0.465,66.392,5.656,97.489,0.167,100.533,0
1976 March,0,2.555,0.367,14.651,0.251,11.774,0.607,78.076,5.338,111.063,0.184,113.802,0
1976 April,0.002,2.239,0.387,13.598,0.243,11.991,0.541,78.506,4.613,109.879,0.162,112.282,0
1976 May,0.004,2.129,0.38,13.158,0.251,11.786,0.517,77.65,5.079,108.822,0.167,111.122,0
1976 June,0.002,1.982,0.523,12.989,0.243,11.391,0.571,82.042,4.453,112.211,0.172,114.367,0
1976 July,0.002,2.037,0.424,12.569,0.251,13.434,0.587,82.888,4.649,114.803,0.187,117.029,0
1976 August,0.002,1.955,0.513,12.765,0.251,11.852,0.515,81.222,4.873,111.991,0.182,114.131,0
